Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2007-03-01,1420.86,0.01,97826.3966,130454.1584,25 ans,24 mois
2007-04-01,1482.37,0.0433,102061.3689,136101.6089,25 ans,24 mois
2007-05-01,1530.62,0.0325,105383.3877,140531.6113,25 ans,24 mois
2007-06-01,1503.35,-0.0178,103505.8433,138027.8548,25 ans,24 mois
2007-07-01,1455.27,-0.032,100195.532,133613.4648,25 ans,24 mois
2007-08-01,1473.99,0.0129,101484.4045,135332.2112,25 ans,24 mois
2007-09-01,1526.75,0.0358,105116.9381,140176.2935,25 ans,24 mois
2007-10-01,1549.38,0.0148,106675.0169,142254.0339,25 ans,24 mois
2007-11-01,1481.14,-0.044,101976.6846,135988.6801,25 ans,24 mois
2007-12-01,1468.36,-0.0086,101096.7779,134815.3006,25 ans,24 mois
2008-01-01,1378.55,-0.0612,94913.352,126569.5341,25 ans,24 mois
2008-02-01,1330.63,-0.0348,91614.0506,122169.8261,25 ans,24 mois
2008-03-01,1322.7,-0.006,91068.0654,121441.74,25 ans,24 mois
2008-04-01,1385.59,0.0475,95398.0512,127215.8937,25 ans,24 mois
2008-05-01,1400.38,0.0107,96416.3473,128573.8192,25 ans,24 mois
2008-06-01,1280.0,-0.086,88128.1682,117521.3071,25 ans,24 mois
2008-07-01,1267.38,-0.0099,87259.2798,116362.6209,25 ans,24 mois
2008-08-01,1282.83,0.0122,88323.011,117781.1353,25 ans,24 mois
2008-09-01,1166.36,-0.0908,80304.0382,107087.6172,25 ans,24 mois
2008-10-01,968.75,-0.1694,66698.5648,88944.3486,25 ans,24 mois
2008-11-01,896.24,-0.0748,61706.2411,82286.9493,25 ans,24 mois
2008-12-01,903.25,0.0078,62188.8812,82930.563,25 ans,24 mois
2009-01-01,825.88,-0.0857,56861.9468,75826.9513,25 ans,24 mois
2009-02-01,735.09,-0.1099,50611.0449,67491.2038,25 ans,24 mois
2009-03-01,797.87,0.0854,54933.454,73255.2537,25 ans,24 mois
2009-04-01,872.81,0.0939,60093.083,80135.7592,25 ans,24 mois
2009-05-01,919.14,0.0531,63282.9108,84389.4812,25 ans,24 mois
2009-06-01,919.32,0.0002,63295.3033,84406.007,25 ans,24 mois
2009-07-01,987.48,0.0741,67988.1264,90664.0141,25 ans,24 mois
2009-08-01,1020.62,0.0336,70269.8207,93706.7155,25 ans,24 mois
2009-09-01,1057.08,0.0357,72780.0938,97054.2329,25 ans,24 mois
2009-10-01,1036.1899,-0.0198,71341.8136,95136.2471,25 ans,24 mois
2009-11-01,1095.63,0.0574,75434.2698,100593.6487,25 ans,24 mois
2009-12-01,1115.1,0.0178,76774.7798,102381.2552,25 ans,24 mois
2010-01-01,1073.87,-0.037,73936.0902,98595.7855,25 ans,24 mois
2010-02-01,1104.49,0.0285,76044.2809,101407.1151,25 ans,24 mois
2010-03-01,1169.4301,0.0588,80515.4128,107369.491,25 ans,24 mois
2010-04-01,1186.6899,0.0148,81703.7584,108954.1821,25 ans,24 mois
2010-05-01,1089.41,-0.082,75006.024,100022.5713,25 ans,24 mois
2010-06-01,1030.71,-0.0539,70964.5162,94633.1108,25 ans,24 mois
2010-07-01,1101.6,0.0688,75845.303,101141.7727,25 ans,24 mois
2010-08-01,1049.33,-0.0474,72246.5053,96342.6781,25 ans,24 mois
2010-09-01,1141.2,0.0876,78571.7666,104777.5859,25 ans,24 mois
2010-10-01,1183.26,0.0369,81467.6071,108639.268,25 ans,24 mois
2010-11-01,1180.55,-0.0023,81281.0259,108390.4569,25 ans,24 mois
2010-12-01,1257.64,0.0653,86588.6802,115468.3581,25 ans,24 mois
2011-01-01,1286.12,0.0226,88549.5306,118083.2054,25 ans,24 mois
2011-02-01,1327.22,0.032,91379.2693,121856.7389,25 ans,24 mois
