Short_Name_Etf,Ticker_Etf_Yf,Ticker_Etf,Devise,Place_Boursiere_Etf,Volume_Moyen,Frais_pct
DJTLC     PI OPENN,AATLC.PA,AATLC,EUR,PAR,,
DJUTI     PI OPENN,AAUTL.PA,AAUTL,EUR,PAR,,
21Shares Aave ETP,AAVE-EUR.PA,AAVE-EUR,EUR,PAR,,
21Shares Bitcoin Cash ETP,ABCH-EUR.PA,ABCH-EUR,EUR,PAR,,
ESTX      PI OPENN,ABDJE.PA,ABDJE,EUR,PAR,,
DOWJO     PI OPENN,ABDJI.PA,ABDJI,EUR,PAR,,
HSI       PI OPENN,ABHSN.PA,ABHSN,EUR,PAR,,
AXA IM ACT Biodiversity Equity ,ABIU.PA,ABIU,USD,PAR,93.0,
Z KOREA   CT OPENN,ABKSP.PA,ABKSP,EUR,PAR,,
SP500     PI OPENN,ABNSP.PA,ABNSP,EUR,PAR,,
NASDQ     PI OPENN,ABNSQ.PA,ABNSQ,EUR,PAR,,
SMI       PI OPENN,ABSMI.PA,ABSMI,EUR,PAR,,
21Shares Bitcoin ETP - ABTC,ABTC.PA,ABTC,EUR,PAR,5428.0,
BNP Paribas Easy ESG Enhanced E,ACE27.PA,ACE27,EUR,PAR,419.0,
BNP Paribas Easy ESG Enhanced E,ACE29.PA,ACE29,EUR,PAR,1124.0,
BNP Paribas Easy ESG Enhanced E,ACE32.PA,ACE32,EUR,PAR,2419.0,
BNP Paribas Easy ESG Enhanced E,ACES.PA,ACES,EUR,PAR,87.0,
BNP Paribas Easy ESG Enhanced E,ACESD.PA,ACESD,EUR,PAR,442.0,
AXA IM ACT Climate Equity UCITS,ACLU.PA,ACLU,USD,PAR,56.0,
SPDR MSCI All Country World UCI,ACWE.PA,ACWE,EUR,PAR,1521.0,0.4
Amundi MSCI All Country World U,ACWI.PA,ACWI,EUR,PAR,398.0,0.45
VALOUR CARDANO,ADAVE.PA,ADAVE,EUR,PAR,,
WisdomTree Physical Cardano,ADAW.PA,ADAW,EUR,PAR,,
21Shares Polkadot ETP,ADOT-EUR.PA,ADOT-EUR,EUR,PAR,,
Amundi MSCI Emerging Markets Sw,AEEM.PA,AEEM,EUR,PAR,255078.0,0.2
Amundi MSCI AC Asia Pacific Ex ,AEJ.PA,AEJ,EUR,PAR,6155.0,0.6
Amundi Core MSCI Emerging Marke,AEME.PA,AEME,EUR,PAR,9243.0,0.18
