Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2020-11-01,3621.6299,0.1075,12435.0799,6024.5734,5 ans,12 mois
2020-12-01,3756.0701,0.0371,12896.6882,6888.8413,5 ans,12 mois
2021-01-01,3714.24,-0.0111,12753.0621,7712.8941,5 ans,12 mois
2021-02-01,3811.1499,0.0261,13085.808,8567.9703,5 ans,12 mois
2021-03-01,3972.8899,0.0424,13641.1518,9436.6691,5 ans,12 mois
2021-04-01,4181.1699,0.0524,14356.2936,10313.6902,5 ans,12 mois
2021-05-01,4204.1099,0.0055,14435.0593,10370.2762,5 ans,12 mois
2021-06-01,4297.5,0.0222,14755.7198,10600.6416,5 ans,12 mois
2021-07-01,4395.2598,0.0227,15091.3837,10841.7856,5 ans,12 mois
2021-08-01,4522.6802,0.029,15528.8892,11156.0935,5 ans,12 mois
2021-09-01,4307.54,-0.0476,14790.1929,10625.4074,5 ans,12 mois
2021-10-01,4605.3799,0.0691,15812.8435,11360.0888,5 ans,12 mois
2021-11-01,4567.0,-0.0083,15681.0639,11265.4171,5 ans,12 mois
2021-12-01,4766.1802,0.0436,16364.9608,11756.7348,5 ans,12 mois
2022-01-01,4515.5498,-0.0526,15504.4067,11138.505,5 ans,12 mois
2022-02-01,4373.9399,-0.0314,15018.1808,10789.196,5 ans,12 mois
2022-03-01,4530.4102,0.0358,15555.4306,11175.161,5 ans,12 mois
2022-04-01,4131.9302,-0.088,14187.226,10192.2306,5 ans,12 mois
2022-05-01,4132.1499,0.0001,14187.9805,10192.7726,5 ans,12 mois
2022-06-01,3785.3799,-0.0839,12997.3252,9337.3951,5 ans,12 mois
2022-07-01,4130.29,0.0911,14181.5945,10188.1849,5 ans,12 mois
2022-08-01,3955.0,-0.0424,13579.7258,9755.797,5 ans,12 mois
2022-09-01,3585.6201,-0.0934,12311.4382,8844.6478,5 ans,12 mois
2022-10-01,3871.98,0.0799,13294.6717,9551.0115,5 ans,12 mois
2022-11-01,4080.1101,0.0538,14009.2988,10064.406,5 ans,12 mois
2022-12-01,3839.5,-0.059,13183.1498,9470.8932,5 ans,12 mois
2023-01-01,4076.6001,0.0618,13997.2469,10055.7479,5 ans,12 mois
2023-02-01,3970.1499,-0.0261,13631.7439,9793.1672,5 ans,12 mois
